CUSTOMER_ID,COUNTRY
CUS0000001,US
CUS0000002,US
CUS0000003,DE
CUS0000004,IN
CUS0000005,IN
CUS0000006,IN
CUS0000007,US
CUS0000008,US
CUS0000009,FR
CUS0000010,US
CUS0000011,US
CUS0000012,US
CUS0000013,IN
CUS0000014,IN
CUS0000015,US
CUS0000016,IN
CUS0000017,FR
CUS0000018,IN
CUS0000019,FR
CUS0000020,DE
CUS0000021,US
CUS0000022,IN
CUS0000023,FR
CUS0000024,DE
CUS0000025,DE
CUS0000026,IN
CUS0000027,IN
CUS0000028,DE
CUS0000029,US
CUS0000030,US
CUS0000031,FR
CUS0000032,US
CUS0000033,DE
CUS0000034,DE
CUS0000035,DE
CUS0000036,US
CUS0000037,FR
CUS0000038,US
CUS0000039,FR
CUS0000040,US
CUS0000041,DE
CUS0000042,DE
CUS0000043,IN
CUS0000044,US
CUS0000045,US
CUS0000046,IN
CUS0000047,DE
CUS0000048,US
CUS0000049,IN
CUS0000050,US
CUS0000051,FR
CUS0000052,DE
CUS0000053,FR
CUS0000054,DE
CUS0000055,IN
CUS0000056,DE
CUS0000057,DE
CUS0000058,IN
CUS0000059,DE
CUS0000060,US
CUS0000061,IN
CUS0000062,IN
CUS0000063,IN
CUS0000064,FR
CUS0000065,FR
CUS0000066,DE
CUS0000067,IN
CUS0000068,DE
CUS0000069,US
CUS0000070,IN
CUS0000071,US
CUS0000072,DE
CUS0000073,FR
CUS0000074,DE
CUS0000075,US
CUS0000076,IN
CUS0000077,DE
CUS0000078,IN
CUS0000079,FR
CUS0000080,FR
CUS0000081,FR
CUS0000082,IN
CUS0000083,DE
CUS0000084,IN
CUS0000085,IN
CUS0000086,DE
CUS0000087,FR
CUS0000088,FR
CUS0000089,DE
CUS0000090,IN
CUS0000091,IN
CUS0000092,FR
CUS0000093,US
CUS0000094,US
CUS0000095,US
CUS0000096,IN
CUS0000097,IN
CUS0000098,FR
CUS0000099,US
CUS0000100,FR
