CUSTOMER_ID,CUSTOMER_SCORE,CUSTOMER_TYPE,IS_ACTIVE
CUS-1,89.14510374197255,STANDARD,True
CUS-2,88.57153606412635,PREMIUM,True
CUS-3,63.6428456011113,PREMIUM,True
CUS-4,6.4464468843256295,STANDARD,True
CUS-5,59.26498116550414,STANDARD,True
CUS-6,18.59541023497142,PREMIUM,True
CUS-7,25.98461499254513,PREMIUM,True
CUS-8,97.36998857404593,PREMIUM,False
CUS-9,43.10288129108278,STANDARD,True
CUS-10,98.4516208703552,STANDARD,True
CUS-11,93.11493602363008,STANDARD,True
CUS-12,13.396042508772199,PREMIUM,True
CUS-13,87.2660661747327,STANDARD,True
CUS-14,54.97050127016391,PREMIUM,True
CUS-15,40.854822279433414,PREMIUM,True
CUS-16,65.85737892683655,PREMIUM,True
CUS-17,49.747559104851426,STANDARD,True
CUS-18,6.780292021109602,PREMIUM,False
CUS-19,92.34798081408748,PREMIUM,True
CUS-20,52.53341328734293,PREMIUM,True
CUS-21,55.098300263683306,PREMIUM,True
CUS-22,83.88647956326004,PREMIUM,True
CUS-23,77.9131024002882,STANDARD,True
CUS-24,19.824965732830403,PREMIUM,True
CUS-25,29.412679946855103,STANDARD,True
CUS-26,58.01939231066302,PREMIUM,True
CUS-27,62.004933673775575,STANDARD,False
CUS-28,86.48636368902254,STANDARD,False
CUS-29,36.30960626423351,PREMIUM,True
CUS-30,10.358670903883194,PREMIUM,True
CUS-31,42.747423911169,STANDARD,True
CUS-32,75.36731890148319,STANDARD,True
CUS-33,62.68024177753192,PREMIUM,False
CUS-34,15.079924846137938,PREMIUM,True
CUS-35,4.110960325945778,PREMIUM,True
CUS-36,91.80069832952643,STANDARD,True
CUS-37,32.851828887644906,PREMIUM,False
CUS-38,98.08686574398283,PREMIUM,True
CUS-39,99.93037878444903,PREMIUM,True
CUS-40,1.699371839765107,STANDARD,False
CUS-41,85.52027882133783,STANDARD,True
CUS-42,75.22507309552007,PREMIUM,True
CUS-43,57.80507935866515,PREMIUM,True
CUS-44,55.81452054561433,PREMIUM,True
CUS-45,95.016745253558,PREMIUM,True
CUS-46,76.50735021713932,STANDARD,True
CUS-47,44.511020058747995,STANDARD,False
CUS-48,69.29208539108497,PREMIUM,True
CUS-49,60.159050247480614,PREMIUM,True
CUS-50,78.54860570320108,STANDARD,True
CUS-51,88.82971539605957,PREMIUM,True
CUS-52,62.24523300976594,STANDARD,True
CUS-53,87.36811386952633,PREMIUM,True
CUS-54,46.98274785784255,STANDARD,False
CUS-55,16.450190670378127,STANDARD,True
CUS-56,23.935720502627646,STANDARD,True
CUS-57,90.74339881147425,STANDARD,True
CUS-58,2.419174558350279,PREMIUM,True
CUS-59,73.74973233275206,STANDARD,False
CUS-60,87.78889123081024,PREMIUM,True
CUS-61,99.7352937331041,PREMIUM,False
CUS-62,50.23679255728422,STANDARD,True
CUS-63,98.184033651753,PREMIUM,False
CUS-64,80.64576322817143,PREMIUM,True
CUS-65,43.609476752021045,STANDARD,True
CUS-66,43.17561588284082,PREMIUM,False
CUS-67,88.06114459771159,STANDARD,True
CUS-68,16.27933353310258,PREMIUM,True
CUS-69,58.472550698383365,STANDARD,True
CUS-70,53.505075428647075,PREMIUM,True
CUS-71,17.85616439210056,STANDARD,True
CUS-72,66.17417545187165,STANDARD,True
CUS-73,49.01170044109095,STANDARD,True
CUS-74,50.48731045089995,PREMIUM,True
CUS-75,5.902394196386163,PREMIUM,False
CUS-76,58.56984992614457,STANDARD,True
CUS-77,35.83882982110767,PREMIUM,True
CUS-78,36.88143133674934,STANDARD,True
CUS-79,91.54432653559556,STANDARD,False
CUS-80,4.81509468917698,PREMIUM,True
CUS-81,37.0435706924698,PREMIUM,True
CUS-82,45.912441191776885,STANDARD,True
CUS-83,84.89047703876902,STANDARD,False
CUS-84,13.165742289301086,PREMIUM,False
CUS-85,16.850954458350376,STANDARD,True
CUS-86,49.55804245138591,STANDARD,True
CUS-87,98.06055936845397,PREMIUM,True
CUS-88,53.734373072601905,PREMIUM,True
CUS-89,75.10034091982149,PREMIUM,True
CUS-90,90.88622432834671,STANDARD,True
CUS-91,57.508604642317984,PREMIUM,True
CUS-92,59.93183435315464,STANDARD,False
CUS-93,45.30166851699629,PREMIUM,False
CUS-94,96.65892294872829,PREMIUM,False
CUS-95,23.84233418072048,PREMIUM,True
CUS-96,46.71510819933611,PREMIUM,True
CUS-97,90.65463113479537,STANDARD,True
CUS-98,5.3341573325977,STANDARD,True
CUS-99,91.6188714631227,STANDARD,True
CUS-100,71.48448632168639,PREMIUM,True
