PRODUCT_ID,CUSTOMER_ID,UNIT_PRICE,QUANTITY,TOTAL_VALUE,VALUE_BAND
PROD-1,CUST-10,1587.3045966347258,2,3174.6091932694517,HIGH
PROD-2,CUST-14,1165.854871062147,4,4663.419484248588,HIGH
PROD-3,CUST-74,1907.5092763546797,6,11445.055658128078,HIGH
PROD-4,CUST-75,349.9074484667205,2,699.814896933441,STANDARD
PROD-5,CUST-33,135.34553878667913,5,676.7276939333956,STANDARD
PROD-6,CUST-87,1531.7021326691897,8,12253.617061353518,HIGH
PROD-7,CUST-96,247.0989630723194,9,2223.8906676508745,HIGH
PROD-8,CUST-41,1290.4281739840567,10,12904.281739840568,HIGH
PROD-9,CUST-20,1647.8685110336417,6,9887.21106620185,HIGH
PROD-10,CUST-49,547.8387672179903,9,4930.548904961913,HIGH
PROD-11,CUST-51,416.2270660013891,6,2497.3623960083346,HIGH
PROD-12,CUST-22,708.0085028000528,9,6372.076525200476,HIGH
PROD-13,CUST-25,870.5893226643364,9,7835.303903979027,HIGH
PROD-14,CUST-53,1304.1027256133164,6,7824.616353679898,HIGH
PROD-15,CUST-42,828.0738694236102,10,8280.7386942361,HIGH
PROD-16,CUST-76,669.2268614061687,3,2007.6805842185063,HIGH
PROD-17,CUST-32,767.972126215323,1,767.972126215323,STANDARD
PROD-18,CUST-11,1198.6648864487975,5,5993.324432243988,HIGH
PROD-19,CUST-68,715.9767184043187,6,4295.860310425913,HIGH
PROD-20,CUST-3,291.39558367650324,10,2913.9558367650325,HIGH
PROD-21,CUST-54,1960.6044441882416,8,15684.835553505933,HIGH
PROD-22,CUST-89,1669.83887381221,8,13358.71099049768,HIGH
PROD-23,CUST-28,1087.6511979009952,8,8701.209583207961,HIGH
PROD-24,CUST-41,1761.0155712444384,9,15849.140141199947,HIGH
PROD-25,CUST-11,928.2220174086392,9,8353.998156677753,HIGH
PROD-26,CUST-61,1734.1040448092738,3,5202.312134427822,HIGH
PROD-27,CUST-19,829.1072406631273,1,829.1072406631273,STANDARD
PROD-28,CUST-94,1765.847857227479,1,1765.847857227479,HIGH
PROD-29,CUST-87,276.4707256857738,10,2764.707256857738,HIGH
PROD-30,CUST-47,348.57734459591086,2,697.1546891918217,STANDARD
PROD-31,CUST-19,1042.3811517805982,1,1042.3811517805982,HIGH
PROD-32,CUST-31,1591.8120455657152,1,1591.8120455657152,HIGH
PROD-33,CUST-28,591.2979390395733,2,1182.5958780791466,HIGH
PROD-34,CUST-92,564.1947522678779,1,564.1947522678779,STANDARD
PROD-35,CUST-1,632.1344044881885,7,4424.94083141732,HIGH
PROD-36,CUST-64,472.7469025626413,8,3781.9752205011305,HIGH
PROD-37,CUST-90,863.199864179696,4,3452.799456718784,HIGH
PROD-38,CUST-34,141.9334754808283,4,567.7339019233132,STANDARD
PROD-39,CUST-55,1387.062480379498,1,1387.062480379498,HIGH
PROD-40,CUST-79,862.3543663288116,7,6036.480564301681,HIGH
PROD-41,CUST-28,381.17283535213414,9,3430.555518169207,HIGH
PROD-42,CUST-77,170.13704688037407,3,510.4111406411222,STANDARD
PROD-43,CUST-34,663.518101624264,8,5308.144812994112,HIGH
PROD-44,CUST-86,603.1975103134884,3,1809.5925309404652,HIGH
PROD-45,CUST-34,1916.429105734658,6,11498.574634407947,HIGH
PROD-46,CUST-43,1320.473378394524,5,6602.36689197262,HIGH
PROD-47,CUST-71,1157.4549285711337,1,1157.4549285711337,HIGH
PROD-48,CUST-88,1039.534119018409,5,5197.670595092045,HIGH
PROD-49,CUST-19,997.3745949072304,2,1994.7491898144608,HIGH
PROD-50,CUST-17,1481.17760547617,3,4443.532816428509,HIGH
