CUSTOMER_ID,COUNTRY,CUSTOMER_CODE,CUSTOMER_GROUP,CREDIT_LIMIT,ACTIVE
1,JP,CUST-10433-EX,STANDARD,170791.37441861327,True
2,FR,CUST-60013-HQ,PARTNER,11501.312572546587,True
3,JP,CUST-86379-IZ,STANDARD,190907.80494679298,True
4,JP,CUST-65423-YK,STANDARD,27722.731628136236,True
5,IN,CUST-59407-RD,PREMIUM,24306.04852922225,False
6,IN,CUST-16879-KI,PARTNER,99706.48162917621,True
7,GB,CUST-01047-XR,STANDARD,229763.92574496006,False
8,FR,CUST-63388-LO,STANDARD,13149.707484481329,False
9,JP,CUST-59589-YG,STANDARD,198209.26812256017,True
10,DE,CUST-51596-QR,PREMIUM,28789.17190401311,True
11,IN,CUST-08756-BE,STANDARD,245687.8393793191,False
12,DE,CUST-57008-MO,STANDARD,63125.069156253834,True
13,DE,CUST-73477-ND,STANDARD,225131.9870844567,False
14,US,CUST-96582-EM,PARTNER,169108.6489697956,True
15,IN,CUST-15269-VW,PREMIUM,151716.94414296417,True
16,US,CUST-59903-QK,PREMIUM,76110.46769554244,False
17,JP,CUST-60289-LM,PREMIUM,244358.47943025298,False
18,FR,CUST-49292-EM,PARTNER,248357.00670511255,False
19,FR,CUST-29659-QQ,STANDARD,63150.792423641375,False
20,GB,CUST-36707-OA,PREMIUM,17428.697170684132,False
21,FR,CUST-21374-VL,STANDARD,129472.56118680387,True
22,US,CUST-42107-PQ,STANDARD,194948.1665922743,False
23,FR,CUST-23158-OS,STANDARD,156164.16437534356,False
24,IN,CUST-57044-TN,STANDARD,173989.8556799709,False
25,DE,CUST-29099-SG,STANDARD,41231.13599468866,True
