PRODUCT_ID,PRODUCT_CODE,PRODUCT_TYPE,UNIT_PRICE,WEIGHT,ACTIVE
1,PROD-1043-OI,STANDARD,6770.227879354884,23.895527498057504,True
2,PROD-3890-jM,KIT,2212.20181418656,31.428635212973383,True
3,PROD-2654-JN,SERVICE,1031.0806624332886,22.429248995805406,False
4,PROD-9407-iH,KIT,797.2139788037971,17.35656591770512,False
5,PROD-9310-qO,SERVICE,9852.36299140097,21.99011099957849,False
6,PROD-5168-dk,SERVICE,2581.7044717022713,20.950157747604457,False
7,PROD-0104-89,KIT,7241.336983303806,20.577402649098516,True
8,PROD-8857-9P,STANDARD,5613.846872284491,29.60056134287537,False
9,PROD-8933-y1,STANDARD,1263.7408668245475,11.913576269769182,False
10,PROD-1353-ev,STANDARD,7733.016149419814,29.417441701253246,False
11,PROD-4087-28,SERVICE,4074.4763372108264,36.56769416736644,True
12,PROD-5700-iY,KIT,120.92036955117636,19.905247410197187,False
13,PROD-6109-5Y,STANDARD,5762.904112012777,44.82575733344508,True
14,PROD-2688-tL,SERVICE,936.1868007354494,10.691449934009501,False
15,PROD-9030-Np,KIT,4572.2903714794065,19.85835280881669,True
